txt_municipio;txt_uf;num_ano_financiamento;  qtd_uh_financiadas  ;  vlr_financiamento  ;  vlr_subsidio  
Abadiânia ;GO;2009; 10 ; 98.500,37 ; 16.787,00 
Abadiânia ;GO;2010; 7 ; 314.797,95 ; 150.426,00 
Abadiânia ;GO;2011; 12 ; 648.618,87 ; 139.523,99 
Abadiânia ;GO;2012; 45 ; 2.876.343,45 ; 1.190.837,52 
Abadiânia ;GO;2013; 36 ; 2.584.003,38 ; 1.025.497,03 
Abadiânia ;GO;2014; 30 ; 2.416.841,08 ; 722.921,89 
Abadiânia ;GO;2015; 25 ; 2.382.804,29 ; 588.490,75 
Abadiânia ;GO;2016; 21 ; 1.992.250,27 ; 452.387,59 
Abadiânia ;GO;2017; 19 ; 1.950.436,06 ; 426.346,95 
Abadiânia ;GO;2018; 16 ; 1.776.034,89 ; 274.814,14 
Abadiânia ;GO;2019; 9 ; 999.233,63 ; 151.267,97 
Abadiânia ;GO;2020; 3 ; 387.386,64 ; 42.569,70 
Abadiânia ;GO;2021; 8 ; 735.927,75 ; 248.238,18 
Abadiânia ;GO;2022; 5 ; 535.071,21 ; 108.577,98 
Abadiânia ;GO;2023; 11 ; 1.362.228,84 ; 307.323,76 
Abaeté ;MG;2009; 75 ; 2.931.261,74 ; 564.507,00 
Abaeté ;MG;2010; 134 ; 6.596.921,01 ; 1.732.952,00 
Abaeté ;MG;2011; 85 ; 4.681.230,67 ; 428.558,00 
Abaeté ;MG;2012; 125 ; 7.587.348,33 ; 2.508.745,32 
Abaeté ;MG;2013; 110 ; 7.691.442,08 ; 2.399.038,25 
Abaeté ;MG;2014; 132 ; 9.660.180,92 ; 2.775.632,82 
Abaeté ;MG;2015; 155 ; 11.528.618,19 ; 3.387.829,54 
Abaeté ;MG;2016; 78 ; 6.097.401,64 ; 1.482.925,54 
Abaeté ;MG;2017; 63 ; 4.969.066,83 ; 1.283.999,52 
Abaeté ;MG;2018; 30 ; 2.305.033,44 ; 704.690,64 
Abaeté ;MG;2019; 56 ; 4.843.104,68 ; 1.286.403,21 
Abaeté ;MG;2020; 60 ; 5.719.159,72 ; 1.262.462,32 
Abaeté ;MG;2021; 33 ; 3.221.798,89 ; 623.224,55 
Abaeté ;MG;2022; 48 ; 5.101.617,23 ; 815.173,13 
Abaeté ;MG;2023; 63 ; 8.309.210,78 ; 1.061.069,52 
Abaetetuba ;PA;2009; 8 ; 402.997,60 ; 59.882,00 
Abaetetuba ;PA;2010; 16 ; 847.113,58 ; 192.727,00 
Abaetetuba ;PA;2011; 6 ; 276.524,89 ; 50.921,00 
Abaetetuba ;PA;2012; 4 ; 163.794,03 ; 20.589,64 
Abaetetuba ;PA;2013; 45 ; 3.510.029,01 ; 885.188,14 
Abaetetuba ;PA;2014; 62 ; 4.873.433,81 ; 1.432.292,36 
Abaetetuba ;PA;2015; 39 ; 3.220.045,68 ; 919.816,33 
Abaetetuba ;PA;2016; 7 ; 636.844,91 ; 92.145,29 
Abaetetuba ;PA;2017; 14 ; 1.451.007,61 ; 98.682,28 
Abaetetuba ;PA;2018; 13 ; 1.402.673,51 ; 108.032,60 
Abaetetuba ;PA;2019; 21 ; 2.337.148,27 ; 162.745,06 
Abaetetuba ;PA;2020; 14 ; 1.460.175,35 ; 77.071,06 
Abaetetuba ;PA;2021; 3 ; 353.300,00 ; 1.112,00 
Abaetetuba ;PA;2022; 1 ; 144.000,00 ; -   
Abaetetuba ;PA;2023; 4 ; 440.081,71 ; 24.521,55 
Abaíra ;BA;2012; 1 ; 58.823,52 ; 19.365,03 
Abaré ;BA;2009; 100 ; 150.000,00 ; 911.500,00 
Abaré ;BA;2010; 1 ; 22.500,00 ; 10.190,00 
Abaré ;BA;2023; 1 ; 120.000,00 ; -   
Abatiá ;PR;2009; 10 ; 260.573,85 ; 130.804,00 
Abatiá ;PR;2010; 72 ; 2.464.596,00 ; 1.310.730,00 
Abatiá ;PR;2011; 25 ; 1.003.541,42 ; 191.159,00 
Abatiá ;PR;2012; 21 ; 992.007,49 ; 388.551,93 
Abatiá ;PR;2013; 27 ; 1.477.747,97 ; 579.644,51 
Abatiá ;PR;2014; 35 ; 2.219.553,68 ; 816.108,91 
Abatiá ;PR;2015; 24 ; 1.641.180,78 ; 473.938,29 
Abatiá ;PR;2016; 7 ; 455.168,70 ; 116.523,32 
Abatiá ;PR;2017; 8 ; 558.236,48 ; 155.907,86 
Abatiá ;PR;2018; 1 ; 85.500,00 ; 5.301,36 
Abatiá ;PR;2019; 8 ; 626.824,88 ; 145.987,78 
Abatiá ;PR;2020; 3 ; 248.253,00 ; 89.336,98 
Abatiá ;PR;2021; 12 ; 1.149.383,31 ; 211.419,30 
Abatiá ;PR;2022; 10 ; 986.683,84 ; 190.734,10 
Abatiá ;PR;2023; 6 ; 735.261,78 ; 104.547,35 
Abdon Batista ;SC;2009; 2 ; 50.000,00 ; 6.265,00 
Abdon Batista ;SC;2010; 1 ; 37.257,50 ; 15.005,00 
Abdon Batista ;SC;2015; 1 ; 96.000,00 ; -   
Abel Figueiredo ;PA;2011; 1 ; 59.376,00 ; -   
Abel Figueiredo ;PA;2017; 3 ; 217.045,00 ; 80.961,61 
Abel Figueiredo ;PA;2018; 3 ; 226.000,00 ; 67.478,80 
Abel Figueiredo ;PA;2019; 1 ; 68.600,92 ; 19.974,12 
Abel Figueiredo ;PA;2022; 3 ; 310.700,65 ; 82.455,85 
Abel Figueiredo ;PA;2023; 1 ; 113.600,00 ; 15.735,87 
Abelardo Luz ;SC;2009; 137 ; 1.125.986,16 ; 713.977,67 
Abelardo Luz ;SC;2010; 44 ; 1.471.238,63 ; 385.947,00 
Abelardo Luz ;SC;2011; 36 ; 1.093.438,25 ; 94.858,00 
Abelardo Luz ;SC;2012; 11 ; 499.919,09 ; 117.436,44 
Abelardo Luz ;SC;2013; 26 ; 1.879.119,27 ; 497.960,11 
Abelardo Luz ;SC;2014; 28 ; 2.641.042,04 ; 393.542,74 
Abelardo Luz ;SC;2015; 58 ; 5.372.684,84 ; 899.043,98 
Abelardo Luz ;SC;2016; 39 ; 3.794.581,56 ; 924.869,60 
Abelardo Luz ;SC;2017; 12 ; 1.173.924,22 ; 111.239,21 
Abelardo Luz ;SC;2018; 7 ; 726.181,13 ; 88.433,82 
Abelardo Luz ;SC;2019; 7 ; 718.196,28 ; 51.528,03 
Abelardo Luz ;SC;2020; 4 ; 436.890,86 ; 48.930,79 
Abelardo Luz ;SC;2021; 2 ; 161.818,40 ; 15.316,49 
Abelardo Luz ;SC;2022; 1 ; 112.000,00 ; -   
Abelardo Luz ;SC;2023; 4 ; 575.134,72 ; -   
Abre Campo ;MG;2009; 4 ; 65.000,00 ; 8.342,00 
Abre Campo ;MG;2010; 6 ; 169.934,24 ; 39.147,00 
Abre Campo ;MG;2011; 2 ; 121.183,02 ; -   
Abre Campo ;MG;2012; 5 ; 170.000,00 ; 30.345,88 
Abre Campo ;MG;2013; 2 ; 102.740,89 ; 22.808,59 
Abre Campo ;MG;2014; 17 ; 391.443,35 ; 81.236,70 
Abre Campo ;MG;2015; 6 ; 251.125,45 ; 69.054,53 
Abre Campo ;MG;2016; 7 ; 208.939,41 ; 13.888,52 
Abre Campo ;MG;2020; 1 ; 92.000,00 ; 22.257,99 
Abre Campo ;MG;2022; 3 ; 297.699,67 ; 66.534,16 
Abre Campo ;MG;2023; 4 ; 456.770,00 ; 83.773,49 
Abreu e Lima ;PE;2009; 194 ; 2.630.264,03 ; 2.644.385,65 
Abreu e Lima ;PE;2010; 132 ; 4.588.524,28 ; 2.697.544,00 
Abreu e Lima ;PE;2011; 109 ; 4.611.038,65 ; 1.170.586,00 
Abreu e Lima ;PE;2012; 96 ; 5.960.554,72 ; 2.120.141,88 
Abreu e Lima ;PE;2013; 103 ; 7.381.587,67 ; 2.607.997,73 
Abreu e Lima ;PE;2014; 71 ; 6.264.008,16 ; 1.504.889,61 
Abreu e Lima ;PE;2015; 71 ; 6.740.393,98 ; 1.543.070,20 
Abreu e Lima ;PE;2016; 67 ; 6.410.560,80 ; 1.401.956,83 
Abreu e Lima ;PE;2017; 82 ; 7.868.985,09 ; 1.952.269,90 
Abreu e Lima ;PE;2018; 51 ; 4.896.115,61 ; 1.252.240,95 
Abreu e Lima ;PE;2019; 34 ; 3.236.582,27 ; 681.418,66 
Abreu e Lima ;PE;2020; 30 ; 2.936.760,10 ; 669.837,22 
Abreu e Lima ;PE;2021; 81 ; 7.891.587,11 ; 2.576.989,19 
Abreu e Lima ;PE;2022; 138 ; 14.824.742,70 ; 5.558.224,85 
Abreu e Lima ;PE;2023; 162 ; 18.904.424,57 ; 7.403.905,55 
Abreulândia ;TO;2009; 2 ; 97.000,00 ; 10.035,00 
Abreulândia ;TO;2010; 1 ; 40.000,00 ; 6.656,00 
Abreulândia ;TO;2011; 2 ; 78.000,00 ; 10.000,00 
Abreulândia ;TO;2023; 1 ; 100.615,00 ; 24.179,05 
Acaiaca ;MG;2009; 1 ; 9.000,00 ; 1.088,00 
Acaiaca ;MG;2010; 1 ; 33.000,00 ; 11.154,00 
Acaiaca ;MG;2012; 1 ; 25.887,00 ; 14.188,42 
Acaiaca ;MG;2013; 1 ; 55.491,00 ; 25.508,99 
Acaiaca ;MG;2014; 1 ; 36.500,00 ; 12.552,86 
Acaiaca ;MG;2017; 1 ; 66.960,00 ; 4.944,47 
Açailândia ;MA;2009; 48 ; 2.327.170,86 ; 348.930,00 
Açailândia ;MA;2010; 101 ; 5.138.680,37 ; 1.832.098,00 
Açailândia ;MA;2011; 140 ; 8.061.902,80 ; 1.452.069,78 
Açailândia ;MA;2012; 94 ; 6.398.973,04 ; 2.041.734,88 
Açailândia ;MA;2013; 173 ; 13.400.614,36 ; 4.108.949,08 
Açailândia ;MA;2014; 149 ; 12.935.134,59 ; 3.093.965,57 
Açailândia ;MA;2015; 207 ; 18.533.343,19 ; 5.051.407,72 
Açailândia ;MA;2016; 105 ; 9.169.552,43 ; 2.218.800,97 
Açailândia ;MA;2017; 136 ; 12.406.779,66 ; 2.728.556,10 
Açailândia ;MA;2018; 58 ; 5.652.005,95 ; 1.067.349,75 
Açailândia ;MA;2019; 34 ; 3.395.248,99 ; 490.168,30 
Açailândia ;MA;2020; 20 ; 1.781.356,62 ; 351.223,32 
Açailândia ;MA;2021; 35 ; 3.293.812,86 ; 526.586,33 
Açailândia ;MA;2022; 52 ; 6.214.040,13 ; 571.790,18 
Açailândia ;MA;2023; 70 ; 8.832.054,32 ; 1.097.645,03 
Acajutiba ;BA;2009; 1 ; 18.200,00 ; 7.915,00 
Acajutiba ;BA;2010; 1 ; 20.000,00 ; 3.098,00 
Acajutiba ;BA;2011; 2 ; 106.000,00 ; 2.000,00 
Acarape ;CE;2023; 2 ; 242.500,00 ; -   
Acaraú ;CE;2009; 21 ; 461.700,00 ; 56.395,00 
Acaraú ;CE;2010; 10 ; 236.000,00 ; 37.711,00 
Acaraú ;CE;2011; 4 ; 81.000,00 ; -   
Acaraú ;CE;2012; 3 ; 124.700,00 ; 17.265,01 
Acaraú ;CE;2013; 8 ; 600.990,55 ; 173.101,26 
Acaraú ;CE;2014; 13 ; 965.387,31 ; 288.574,61 
Acaraú ;CE;2015; 42 ; 3.547.582,89 ; 751.950,59 
Acaraú ;CE;2016; 42 ; 3.453.141,66 ; 697.830,12 
Acaraú ;CE;2017; 25 ; 2.218.582,28 ; 361.790,38 
Acaraú ;CE;2018; 36 ; 3.232.954,71 ; 736.551,49 
Acaraú ;CE;2019; 35 ; 3.121.841,08 ; 721.088,91 
Acaraú ;CE;2020; 27 ; 2.572.817,50 ; 555.600,41 
Acaraú ;CE;2021; 24 ; 2.413.259,18 ; 542.098,03 
Acaraú ;CE;2022; 11 ; 1.154.298,40 ; 107.341,50 
Acaraú ;CE;2023; 12 ; 1.525.090,74 ; 231.726,62 
Acari ;RN;2009; 4 ; 126.934,00 ; 38.416,00 
Acari ;RN;2010; 6 ; 284.343,00 ; 96.167,00 
Acari ;RN;2011; 21 ; 800.191,40 ; 135.604,00 
Acari ;RN;2012; 18 ; 860.664,77 ; 331.986,28 
Acari ;RN;2013; 8 ; 505.175,47 ; 174.992,37 
Acari ;RN;2014; 55 ; 2.932.977,24 ; 1.331.363,76 
Acari ;RN;2015; 22 ; 1.478.032,75 ; 470.525,74 
Acari ;RN;2016; 8 ; 589.859,00 ; 126.058,78 
Acari ;RN;2017; 8 ; 553.202,76 ; 146.861,35 
Acari ;RN;2018; 14 ; 902.009,58 ; 345.192,02 
Acari ;RN;2019; 8 ; 504.031,05 ; 139.816,21 
Acari ;RN;2020; 1 ; 53.600,00 ; 32.599,99 
Acari ;RN;2021; 7 ; 518.646,89 ; 147.925,42 
Acari ;RN;2022; 4 ; 303.558,21 ; 158.062,35 
Acari ;RN;2023; 20 ; 1.671.465,85 ; 587.850,68 
Aceguá ;RS;2009; 1 ; 52.000,00 ; 10.035,00 
Aceguá ;RS;2014; 1 ; 60.306,93 ; 20.206,98 
Acopiara ;CE;2009; 11 ; 292.014,00 ; 70.827,00 
Acopiara ;CE;2010; 62 ; 380.451,29 ; 726.439,00 
Acopiara ;CE;2011; 24 ; 1.437.974,08 ; 193.684,99 
Acopiara ;CE;2012; 18 ; 1.177.346,88 ; 356.209,25 
Acopiara ;CE;2013; 31 ; 2.429.632,70 ; 602.110,77 
Acopiara ;CE;2014; 40 ; 3.005.127,83 ; 802.280,69 
Acopiara ;CE;2015; 37 ; 3.094.809,06 ; 886.223,64 
Acopiara ;CE;2016; 44 ; 3.893.499,55 ; 775.116,60 
Acopiara ;CE;2017; 39 ; 3.548.630,23 ; 842.359,88 
Acopiara ;CE;2018; 40 ; 3.570.125,69 ; 1.075.680,09 
Acopiara ;CE;2019; 36 ; 3.435.361,43 ; 877.528,20 
Acopiara ;CE;2020; 23 ; 2.290.866,47 ; 588.713,73 
Acopiara ;CE;2021; 20 ; 2.031.181,54 ; 565.278,72 
Acopiara ;CE;2022; 26 ; 2.855.754,94 ; 657.145,14 
Acopiara ;CE;2023; 22 ; 2.867.796,19 ; 574.660,58 
Acorizal ;MT;2009; 1 ; 31.500,00 ; -   
Acorizal ;MT;2013; 1 ; 26.826,05 ; 7.352,24 
Acorizal ;MT;2015; 13 ; 1.023.075,61 ; 281.769,78 
Acorizal ;MT;2016; 13 ; 1.284.703,64 ; 220.236,15 
Acorizal ;MT;2017; 19 ; 1.861.250,49 ; 492.159,85 
Acorizal ;MT;2018; 16 ; 1.522.387,09 ; 323.497,99 
Acorizal ;MT;2019; 9 ; 856.146,81 ; 160.773,59 
Acorizal ;MT;2020; 11 ; 1.102.712,87 ; 251.151,56 
Acorizal ;MT;2021; 3 ; 349.106,49 ; 2.254,00 
Acorizal ;MT;2022; 4 ; 462.124,99 ; 81.796,51 
Acorizal ;MT;2023; 5 ; 611.854,12 ; 106.107,83 
Acrelândia ;AC;2009; 2 ; 47.000,00 ; 17.136,00 
Acrelândia ;AC;2010; 2 ; 68.281,00 ; 13.754,00 
Acrelândia ;AC;2011; 4 ; 184.057,67 ; 3.877,00 
Acrelândia ;AC;2012; 1 ; 50.373,96 ; -   
Acrelândia ;AC;2013; 1 ; 52.068,00 ; 12.081,53 
Acrelândia ;AC;2016; 1 ; 81.000,00 ; 15.999,99 
Acrelândia ;AC;2017; 1 ; 50.000,00 ; -   
Acrelândia ;AC;2019; 3 ; 224.342,57 ; 13.242,22 
Acrelândia ;AC;2021; 1 ; 91.200,00 ; 22.852,28 
Acreúna ;GO;2009; 14 ; 564.463,67 ; 136.618,00 
Acreúna ;GO;2010; 16 ; 673.833,57 ; 178.706,00 
Acreúna ;GO;2011; 13 ; 655.722,78 ; 57.733,99 
Acreúna ;GO;2012; 26 ; 1.606.047,24 ; 484.797,61 
Acreúna ;GO;2013; 46 ; 3.323.527,27 ; 923.686,39 
Acreúna ;GO;2014; 98 ; 7.513.140,62 ; 2.067.759,71 
Acreúna ;GO;2015; 78 ; 5.856.513,41 ; 1.434.406,50 
Acreúna ;GO;2016; 31 ; 2.491.260,99 ; 435.744,84 
Acreúna ;GO;2017; 32 ; 2.659.129,03 ; 511.985,86 
Acreúna ;GO;2018; 27 ; 2.172.639,67 ; 566.575,05 
Acreúna ;GO;2019; 23 ; 2.134.662,84 ; 356.845,50 
Acreúna ;GO;2020; 16 ; 1.571.534,99 ; 284.492,69 
Acreúna ;GO;2021; 17 ; 1.758.270,70 ; 240.944,31 
Acreúna ;GO;2022; 16 ; 1.877.529,51 ; 136.327,21 
Acreúna ;GO;2023; 17 ; 2.420.824,95 ; 119.710,91 
Açu ;RN;2009; 146 ; 4.041.626,34 ; 2.383.923,00 
Açu ;RN;2010; 355 ; 13.893.492,39 ; 7.074.223,00 
Açu ;RN;2011; 414 ; 20.748.451,07 ; 4.488.038,97 
Açu ;RN;2012; 501 ; 31.070.119,18 ; 11.985.341,13 
Açu ;RN;2013; 536 ; 35.450.406,99 ; 14.188.086,40 
Açu ;RN;2014; 418 ; 29.412.077,77 ; 11.107.076,30 
Açu ;RN;2015; 324 ; 23.351.289,66 ; 8.595.552,46 
Açu ;RN;2016; 159 ; 11.526.759,39 ; 4.148.299,33 
Açu ;RN;2017; 115 ; 7.128.529,34 ; 2.979.840,81 
Açu ;RN;2018; 67 ; 4.506.645,25 ; 1.754.650,27 
Açu ;RN;2019; 79 ; 4.617.928,48 ; 1.974.290,36 
Açu ;RN;2020; 50 ; 3.005.571,54 ; 1.366.512,97 
Açu ;RN;2021; 130 ; 7.329.756,78 ; 3.100.305,80 
Açu ;RN;2022; 60 ; 4.944.940,37 ; 1.504.568,55 
Açu ;RN;2023; 98 ; 8.245.912,99 ; 3.957.478,43 
Açucena ;MG;2010; 1 ; 90.000,00 ; 10.035,00 
Açucena ;MG;2011; 2 ; 89.100,00 ; 5.000,00 
Açucena ;MG;2013; 1 ; 81.600,00 ; 20.750,98 
Açucena ;MG;2014; 3 ; 293.887,00 ; 30.837,76 
Açucena ;MG;2015; 2 ; 139.524,00 ; 20.342,98 
Açucena ;MG;2019; 1 ; 80.459,43 ; 20.999,99 
Açucena ;MG;2022; 1 ; 111.191,40 ; -   
Adamantina ;SP;2009; 97 ; 4.982.487,37 ; 1.376.161,00 
Adamantina ;SP;2010; 239 ; 13.911.965,37 ; 3.999.793,00 
Adamantina ;SP;2011; 223 ; 13.632.713,17 ; 1.693.741,19 
Adamantina ;SP;2012; 165 ; 10.690.648,54 ; 3.401.806,27 
Adamantina ;SP;2013; 154 ; 10.836.798,78 ; 3.281.906,16 
Adamantina ;SP;2014; 178 ; 12.899.076,59 ; 3.754.221,34 
Adamantina ;SP;2015; 80 ; 6.143.500,70 ; 1.680.940,43 
Adamantina ;SP;2016; 73 ; 6.009.781,58 ; 1.110.444,11 
Adamantina ;SP;2017; 90 ; 7.987.565,69 ; 1.478.374,44 
Adamantina ;SP;2018; 233 ; 18.735.211,24 ; 5.274.237,22 
Adamantina ;SP;2019; 238 ; 21.044.790,30 ; 5.197.906,12 
Adamantina ;SP;2020; 213 ; 19.625.198,55 ; 4.856.612,20 
Adamantina ;SP;2021; 109 ; 11.120.012,26 ; 1.912.127,56 
Adamantina ;SP;2022; 67 ; 7.299.282,81 ; 465.516,67 
Adamantina ;SP;2023; 51 ; 6.578.340,17 ; 390.110,94 
Adelândia ;GO;2009; 2 ; 48.281,00 ; 25.053,00 
Adelândia ;GO;2010; 12 ; 651.254,84 ; 172.975,00 
Adelândia ;GO;2011; 8 ; 377.998,00 ; 43.702,00 
Adelândia ;GO;2012; 3 ; 147.968,18 ; 46.367,99 
Adelândia ;GO;2013; 1 ; 63.176,00 ; 24.824,00 
Adelândia ;GO;2014; 11 ; 722.876,00 ; 234.740,00 
Adelândia ;GO;2015; 27 ; 1.969.078,04 ; 586.775,21 
Adelândia ;GO;2019; 3 ; 198.738,55 ; 59.467,62 
Adelândia ;GO;2021; 1 ; 80.355,72 ; 17.573,33 
Adelândia ;GO;2022; 3 ; 221.157,68 ; 34.061,98 
Adelândia ;GO;2023; 2 ; 204.000,00 ; 31.003,45 
Adolfo ;SP;2009; 43 ; 1.873.546,37 ; 573.897,00 
Adolfo ;SP;2010; 45 ; 2.201.284,35 ; 752.243,00 
Adolfo ;SP;2011; 52 ; 2.739.396,05 ; 286.041,19 
Adolfo ;SP;2012; 39 ; 2.241.750,34 ; 688.413,94 
Adolfo ;SP;2013; 28 ; 1.731.034,22 ; 546.720,45 
Adolfo ;SP;2014; 54 ; 4.112.565,45 ; 1.028.236,90 
Adolfo ;SP;2015; 27 ; 2.070.618,77 ; 397.076,04 
Adolfo ;SP;2016; 14 ; 1.079.736,42 ; 185.477,19 
Adolfo ;SP;2017; 9 ; 730.330,00 ; 135.614,84 
Adolfo ;SP;2018; 11 ; 791.631,00 ; 238.487,98 
Adolfo ;SP;2019; 14 ; 1.162.432,40 ; 251.915,25 
Adolfo ;SP;2020; 13 ; 1.270.851,77 ; 263.384,29 
Adolfo ;SP;2021; 18 ; 1.911.139,80 ; 391.409,51 
Adolfo ;SP;2022; 27 ; 2.998.104,48 ; 527.381,19 
Adolfo ;SP;2023; 35 ; 4.050.288,29 ; 711.205,21 
Adustina ;BA;2009; 1 ; 30.000,00 ; 10.474,00 
Adustina ;BA;2013; 1 ; 79.626,00 ; -   
Adustina ;BA;2016; 1 ; 79.190,00 ; 20.059,98 
Adustina ;BA;2017; 2 ; 152.000,00 ; 48.199,98 
Adustina ;BA;2018; 1 ; 76.000,00 ; 30.282,99 
Afogados da Ingazeira ;PE;2009; 27 ; 619.653,28 ; 128.786,00 
Afogados da Ingazeira ;PE;2010; 20 ; 755.433,92 ; 207.289,00 
Afogados da Ingazeira ;PE;2011; 22 ; 929.577,49 ; 118.922,00 
Afogados da Ingazeira ;PE;2012; 21 ; 1.213.591,39 ; 348.166,81 
Afogados da Ingazeira ;PE;2013; 31 ; 1.986.361,54 ; 647.049,31 
Afogados da Ingazeira ;PE;2014; 63 ; 4.461.767,90 ; 1.361.974,25 
Afogados da Ingazeira ;PE;2015; 64 ; 4.730.337,93 ; 1.466.948,48 
Afogados da Ingazeira ;PE;2016; 50 ; 3.758.137,27 ; 934.525,67 
Afogados da Ingazeira ;PE;2017; 35 ; 2.715.690,17 ; 804.932,08 
Afogados da Ingazeira ;PE;2018; 18 ; 1.393.924,23 ; 342.384,28 
Afogados da Ingazeira ;PE;2019; 38 ; 2.817.268,45 ; 619.825,33 
Afogados da Ingazeira ;PE;2020; 4 ; 323.950,00 ; 86.830,53 
Afogados da Ingazeira ;PE;2022; 5 ; 461.271,87 ; 45.414,12 
Afogados da Ingazeira ;PE;2023; 58 ; 7.714.492,35 ; 783.821,13 
Afonso Bezerra ;RN;2011; 1 ; 58.500,00 ; -   
Afonso Bezerra ;RN;2015; 1 ; 63.200,00 ; 25.381,00 
Afonso Bezerra ;RN;2016; 1 ; 73.800,00 ; 5.043,52 
Afonso Bezerra ;RN;2017; 3 ; 221.000,00 ; 83.035,97 
Afonso Cláudio ;ES;2009; 43 ; 1.010.371,08 ; 134.481,00 
Afonso Cláudio ;ES;2010; 47 ; 1.179.263,25 ; 237.779,00 
Afonso Cláudio ;ES;2011; 52 ; 1.245.800,00 ; 12.000,00 
Afonso Cláudio ;ES;2012; 35 ; 804.800,00 ; 116.461,70 
Afonso Cláudio ;ES;2013; 15 ; 442.831,00 ; 84.561,01 
Afonso Cláudio ;ES;2014; 8 ; 379.141,00 ; 62.178,46 
Afonso Cláudio ;ES;2015; 3 ; 185.415,00 ; 21.965,43 
Afonso Cláudio ;ES;2016; 4 ; 252.000,00 ; 8.595,72 
Afonso Cláudio ;ES;2017; 2 ; 157.500,00 ; 18.309,99 
Afrânio ;PE;2009; 2 ; 62.753,71 ; 17.546,00 
Afrânio ;PE;2011; 2 ; 82.425,55 ; 8.000,00 
Afrânio ;PE;2013; 1 ; 71.760,00 ; 19.239,29 
Afrânio ;PE;2014; 1 ; 58.214,54 ; 25.509,00 
Afrânio ;PE;2023; 1 ; 58.172,00 ; 16.130,79 
Agrestina ;PE;2009; 12 ; 345.347,50 ; 112.847,00 
Agrestina ;PE;2010; 71 ; 313.676,10 ; 609.372,00 
Agrestina ;PE;2011; 3 ; 96.000,00 ; 25.000,00 
Agrestina ;PE;2012; 3 ; 152.600,00 ; 72.699,11 
Agrestina ;PE;2013; 3 ; 190.415,00 ; 50.212,30 
Agrestina ;PE;2014; 14 ; 908.498,10 ; 295.241,09 
Agrestina ;PE;2015; 13 ; 903.813,12 ; 268.080,97 
Agrestina ;PE;2016; 5 ; 353.968,36 ; 43.270,82 
Agrestina ;PE;2017; 33 ; 2.538.126,92 ; 853.275,51 
Agrestina ;PE;2018; 23 ; 1.742.901,68 ; 596.656,73 
Agrestina ;PE;2019; 39 ; 3.034.114,03 ; 1.046.815,29 
Agrestina ;PE;2020; 41 ; 3.713.064,73 ; 1.107.726,63 
Agrestina ;PE;2021; 33 ; 2.990.147,76 ; 988.015,03 
Agrestina ;PE;2022; 39 ; 4.072.193,07 ; 1.120.677,47 
Agrestina ;PE;2023; 39 ; 4.350.362,00 ; 1.162.129,90 
Agricolândia ;PI;2011; 2 ; 88.428,86 ; 18.000,00 
